Partner ID,Logo,Partner Name,Description,Services,Country,Operating State / Province,City/DMA,OperatingFormats,Office Address Country,Office Address State,Office Address Street,Office Address City / DMA,Office Address Zip Code / Pin Code,Contact Name,Contact Phone,Contact Email,Website,Verified
,,Orange Barrel Media,"Since our founding in 2004, Orange Barrel Media has been creating value for advertisers, municipal clients, and the cities they serve by designing and operating iconic out-of-home media that adds to the character of urban places. We pioneer landmark media and smart city technology to improve lives in cities.",Media Company,US,OH,Columbus,"Static Wallscape, Wallscape, Painted Wallscape, Bulletin, Digital Bulletin, Interactive Digital Kiosks Experience
Kiosk",US,OH,250 N. Hartford Avenue,Columbus,43222,Mike Knoll,(330) 612-4748,mknoll@orangebarrelmedia.com,https://orangebarrelmedia.com/,verified
,,Clear Channel Outdoor,"At Clear Channel Outdoor, we’re always ready to partner with our customers to successfully navigate the uncertainty of challenging times. From our digital products to our data solutions to our marketing and creative teams to our programmatic opportunities, our unparalleled resources are road-tested and deliver value to our customers that keep businesses moving forward",Media Company,US,NY,New York,"Transit, Train Station Domination, Billboard, Bus Shelters, Urban Panels, Airport",US,New York,"99 Park Avenue, 2nd Floor",,10016,Megan Fowkes,(603) 845-6727,meganfowkes@clearchannel.com,https://clearchanneloutdoor.com/,verified
,https://adintime.com/img/adintime-logo-1611323006.jpg,Adintime,"Adintime is a marketplace dedicated to the purchase of advertising media. Our mission is to streamline the purchase of advertising spaces by creating a single point of access to find, create and monitor your advertising media campaigns in Europe, USA, Middle East or Asia. Our media experts stand by your side to help you in your advertising journey.",Media Company,France,,,Mobile and digital,France,Île-de-France,"18, Rue Pasquier
",Paris,,"Erick Gommeaux,Sarah Bryja",33 1 83 79 83 06,"erick.gommeaux@adintime.com,sarah@adintime.com",adintime.com,verified
,https://media.licdn.com/dms/image/v2/C4E0BAQFK8-bFDp8ptA/company-logo_200_200/company-logo_200_200/0/1631318479317?e=1733961600&v=beta&t=pGDk2BnZbGrEJm5cLvYTrnJa_UGoIecuzFdVcA-udXM,JC Decaux,"In 1964, Jean-Claude Decaux invented advertising street furniture. In 2011, JCDecaux became the number one outdoor advertising company worldwide, developing three areas of business: street furniture, transport advertising and billboard advertising.",Media Company,France,,,"street furniture, transport advertising and billboard advertising.",France,Hauts-de-Seine,17 Rue Soyer,Neuilly-sur-Seine,,"Sophie WITLOX,CORREIA Jean Claude,Manon Vallet",06 60 44 98 40,"sophie.witlox@jcdecaux.com,jean-claude.correia@jcdecaux.com,manon.vallet@jcdecaux.com,",https://www.jcdecaux.com/fr,verified
,https://media.licdn.com/dms/image/v2/D4E0BAQEd1ofnF4ZA1A/company-logo_200_200/company-logo_200_200/0/1724924068458/clearchanneleurope_logo?e=1733961600&v=beta&t=lwyt51e2kadR9z2C0ZYsUoMN6Vk5yk2LE0udVLBbqn0,Clear Channel ,"Clear Channel Europe is a division of leading global Out of Home media company, Clear Channel Outdoor Holdings, Inc. (NYSE: CCO).

The Clear Channel Europe portfolio spans 14 markets with 260,000 advertising panels. Clear Channel Europe has 2,600 dedicated employees. Our Mission is To Create the future of media. Transforming our estate, to the benefit of all our stakeholders, through data-driven innovations and infrastructure. Our Purpose is to provide both A Platform for Brands & A Platform for Good. Delivering advertisers’ media objectives whilst having a positive impact on the world around us.",Media Company,United Kingdom,,,Transit shelter and  billboard,United Kingdom,England,"33 Golden Square

",London,,Megan Fowkes,33 1 41 86 86 86,meganfowkes@clearchannel.com,https://www.clearchanneleurope.com/,verified
,https://media.licdn.com/dms/image/v2/D4E0BAQGAecW7QaKfEQ/company-logo_200_200/company-logo_200_200/0/1667385309048/exterionmediafr_logo?e=1733961600&v=beta&t=U3Iwtx-K4ofJ4hf8ZX_dZIiWLbDiF1gbpEeXPJf7F7s,Giraudy,"Giraudy est un acteur majeur de la communication extérieure en France depuis plus de 115 ans. Repris en 2020 par le groupe français Samfi-Invest, Giraudy s'est engagé depuis dans la mise en œuvre de son plan d’action stratégique HORIZON 2030 articulé autour de 3 points clés :

1. Revenir au plus haut niveau de qualité d’affichage en internalisant l’ensemble de la supply-chain (sélection des faces, pose et entretien des panneaux) avec près de 60 collaborateurs issus de la société BambOOH

2. Installer de nouveaux formats OOH plus urbains en 4m2 « paysage » pour répondre aux nouveaux règlements RLP partout en France

3. Et étendre l’offre Digitale DOOH, notamment dans l’univers retail, toujours en privilégiant les emplacements affinitaires à forte valeur ajoutée pour nos clients Annonceurs et Agences

Giraudy reste plus que jamais proche des annonceurs Nationaux et acteurs Locaux pour leur proposer des solutions de communication innovantes et sur-mesure permettant d’allier la puissance de l’OOH et du DOOH. Afficheur novateur et véritable partenaire des annonceurs, Giraudy est un expert média de la mobilité au service des interactions des marques et des consommateurs.",Media Company,France,,,Digital and static, France," Île-de-France
","13, Rue Camille Desmoulins
"," Issy-les-Moulineaux
",,"Cyril Derache ,ATLANI Valerie",01 55 00 53 00,"cyril.derache@giraudy.fr,valerie.bourgatlani@giraudy.fr",http://giraudy.fr/,verified
,https://media.licdn.com/dms/image/v2/C4E0BAQGJ4fweyIUZxQ/company-logo_200_200/company-logo_200_200/0/1652278046857/phenix_groupe_logo?e=1733961600&v=beta&t=Mui9oIl8nbY2SW5PHdT_I1438gJgPZYsA74JeShVyFk,Phenix Digital ,"Phenix is a street and social media company.

Founded as a tech startup in 2012, Phenix has become (i) one of the French's leading outdoor advertising groups, (ii) a leading content publisher and (iii) a technology provider. Employing a total of 400 people, the Group generates €40 million in revenue.",Media Company,France,,,Window posters, France, Île-de-France,"52, Boulevard du Parc", Neuilly-sur-Seine,,Sabine THEILLIER,671363247,stheillier@phenixdigital.f,https://www.phenixgroupe.com/,verified
,https://mediatransports.com/wp-content/uploads/2023/12/logo-2022-1024x314.png,Media Transports ,"Mediatransports is a major player in transit advertising in France, responsible for advertising in public transportation systems like the RATP (Paris Metro) and SNCF (national railway). They focus on innovative and eco-friendly advertising solutions in urban transit environments​(
",Media Company,France,,,Railway, France, Île-de-France,1 rond point Victor Hugo, Issy-les-Moulineaux,,"Nicolas Tabone,Claire Bouvier,Laetitia Beny,",33 6 08 58 16 37,"nicolas.tabone@mediatransports.com,claire.bouvier@mediatransports.com,laetitia.beny@mediatransports.com,",mediatransports.com,verified
,https://lirp.cdn-website.com/f7cab00f/dms3rep/multi/opt/Logo-Led-Media-Com-905c5b96-1920w.png,LED Media. com,"LED MediaCom provides advertising solutions using LED displays, focusing on high-quality digital signage for both indoor and outdoor use. Their services target dynamic and impactful marketing for brands in various locations.

",Media Company,France,,,LED Truck, France, Île-de-France,66 Avenue des Champs Elysees, Paris,,contact@ledmediacom.fr,,contact@ledmediacom.fr,https://ledmediacom.fr/,verified
,,Rainbow ooh,,Media Company,France,,,Wrapped Taxi's,,,,,,christophe,33 (0)6 33 29 04 06,christophe@rainbooh.com,,verified
